arrest_date,felony_count,misdemeanor_count,total_arrests
2014-04-01,360,853,1213
2014-04-02,360,904,1264
2014-04-03,313,871,1184
2014-04-04,326,837,1163
2014-04-05,258,800,1058
2014-04-06,172,527,699
2014-04-07,204,506,710
2014-04-08,341,761,1102
2014-04-09,317,913,1230
2014-04-10,320,916,1236
2014-04-11,257,915,1172
2014-04-12,237,779,1016
2014-04-13,156,548,704
2014-04-14,132,396,528
2014-04-15,232,639,871
2014-04-16,332,921,1253
2014-04-17,276,842,1118
2014-04-18,278,911,1189
2014-04-19,180,760,940
2014-04-20,108,408,516
2014-04-21,209,541,750
2014-04-22,267,757,1024
2014-04-23,320,906,1226
2014-04-24,303,779,1082
2014-04-25,268,841,1109
2014-04-26,194,654,848
2014-04-27,128,593,721
2014-04-28,195,512,707
2014-04-29,224,638,862
2014-04-30,192,447,639
2014-05-01,365,834,1199
2014-05-02,348,935,1283
2014-05-03,206,733,939
2014-05-04,147,459,606
2014-05-05,203,509,712
2014-05-06,336,855,1191
2014-05-07,335,979,1314
2014-05-08,320,824,1144
2014-05-09,321,835,1156
2014-05-10,269,709,978
2014-05-11,129,466,595
2014-05-12,221,513,734
2014-05-13,305,800,1105
2014-05-14,320,860,1180
2014-05-15,354,909,1263
2014-05-16,258,762,1020
2014-05-17,215,671,886
2014-05-18,167,530,697
2014-05-19,215,554,769
2014-05-20,292,787,1079
2014-05-21,374,852,1226
2014-05-22,342,820,1162
2014-05-23,263,768,1031
2014-05-24,196,672,868
2014-05-25,142,474,616
2014-05-26,131,422,553
2014-05-27,240,712,952
2014-05-28,359,745,1104
2014-05-29,330,781,1111
2014-05-30,308,764,1072
2014-05-31,220,628,848
2014-06-01,127,490,617
2014-06-02,222,518,740
2014-06-03,322,721,1043
2014-06-04,414,880,1294
2014-06-05,322,799,1121
2014-06-06,323,780,1103
2014-06-07,199,703,902
2014-06-08,197,486,683
2014-06-09,213,461,674
2014-06-10,376,743,1119
2014-06-11,401,894,1295
2014-06-12,303,877,1180
2014-06-13,301,780,1081
2014-06-14,232,735,967
2014-06-15,126,444,570
2014-06-16,223,517,740
2014-06-17,285,664,949
2014-06-18,359,856,1215
2014-06-19,338,778,1116
2014-06-20,277,802,1079
2014-06-21,189,695,884
2014-06-22,153,492,645
2014-06-23,215,514,729
2014-06-24,321,697,1018
2014-06-25,342,793,1135
2014-06-26,259,706,965
2014-06-27,249,748,997
2014-06-28,173,639,812
2014-06-29,102,487,589
2014-06-30,168,411,579
2014-07-01,334,708,1042
2014-07-02,350,820,1170
2014-07-03,289,745,1034
2014-07-04,167,633,800
2014-07-05,261,722,983
2014-07-06,141,482,623
2014-07-07,228,478,706
2014-07-08,308,663,971
2014-07-09,363,829,1192
2014-07-10,380,878,1258
2014-07-11,278,728,1006
2014-07-12,210,649,859
2014-07-13,155,509,664
2014-07-14,254,495,749
2014-07-15,300,591,891
2014-07-16,409,894,1303
2014-07-17,318,700,1018
2014-07-18,297,762,1059
2014-07-19,215,714,929
2014-07-20,191,539,730
2014-07-21,206,542,748
2014-07-22,301,684,985
2014-07-23,316,795,1111
2014-07-24,286,740,1026
2014-07-25,244,784,1028
2014-07-26,221,688,909
2014-07-27,168,571,739
2014-07-28,185,471,656
2014-07-29,285,717,1002
2014-07-30,346,730,1076
2014-07-31,281,698,979
2014-08-01,277,843,1120
2014-08-02,210,639,849
2014-08-03,173,522,695
2014-08-04,215,470,685
2014-08-05,277,711,988
2014-08-06,328,801,1129
2014-08-07,307,741,1048
2014-08-08,256,792,1048
2014-08-09,213,719,932
2014-08-10,176,587,763
2014-08-11,217,491,708
2014-08-12,320,747,1067
2014-08-13,292,792,1084
2014-08-14,299,793,1092
2014-08-15,317,836,1153
2014-08-16,249,693,942
2014-08-17,177,511,688
2014-08-18,237,486,723
2014-08-19,324,726,1050
2014-08-20,389,812,1201
2014-08-21,324,708,1032
2014-08-22,239,686,925
2014-08-23,234,646,880
2014-08-24,189,564,753
2014-08-25,212,465,677
2014-08-26,270,668,938
2014-08-27,292,785,1077
2014-08-28,303,697,1000
2014-08-29,220,695,915
2014-08-30,197,603,800
2014-08-31,137,421,558
2014-09-01,140,399,539
2014-09-02,230,668,898
2014-09-03,356,805,1161
2014-09-04,273,726,999
2014-09-05,334,838,1172
2014-09-06,268,721,989
2014-09-07,199,503,702
2014-09-08,198,518,716
2014-09-09,284,639,923
2014-09-10,361,771,1132
2014-09-11,341,773,1114
2014-09-12,252,789,1041
2014-09-13,178,647,825
2014-09-14,162,528,690
2014-09-15,204,579,783
2014-09-16,349,721,1070
2014-09-17,333,836,1169
2014-09-18,340,790,1130
2014-09-19,267,813,1080
2014-09-20,225,714,939
2014-09-21,156,488,644
2014-09-22,160,491,651
2014-09-23,267,636,903
2014-09-24,295,714,1009
2014-09-25,190,528,718
2014-09-26,213,649,862
2014-09-27,187,584,771
2014-09-28,139,507,646
2014-09-29,169,504,673
2014-09-30,236,623,859
