dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1388534400,2014-01-01 00:00:00 +0000 UTC,-18000,Empire State Building,40.748441,-73.985664,0.09,10000,-8.79,-6.49,-0.12,0.88,1022,,,47,8.74,295,,,,,,0,800,Clear,sky is clear,01n
1388538000,2014-01-01 01:00:00 +0000 UTC,-18000,Empire State Building,40.748441,-73.985664,-0.81,10000,-9.15,-7.81,-1.12,-0.12,1023,,,49,10.28,285,,,,,,0,800,Clear,sky is clear,01n
1388541600,2014-01-01 02:00:00 +0000 UTC,-18000,Empire State Building,40.748441,-73.985664,-1.09,10000,-9.65,-7.62,-1.79,-0.68,1024,,,48,7.71,294,,,,,,0,800,Clear,sky is clear,01n
1388545200,2014-01-01 03:00:00 +0000 UTC,-18000,Empire State Building,40.748441,-73.985664,-2,10000,-11.22,-9,-2.9,-1.23,1025,,,45,9.25,285,,,,,,0,800,Clear,sky is clear,01n
1388548800,2014-01-01 04:00:00 +0000 UTC,-18000,Empire State Building,40.748441,-73.985664,-2.51,10000,-12.2,-9.51,-2.9,-1.79,1025,,,43,8.74,305,,,,,,0,800,Clear,sky is clear,01n
1388552400,2014-01-01 05:00:00 +0000 UTC,-18000,Empire State Building,40.748441,-73.985664,-3.06,10000,-12.72,-9.94,-3.27,-2.34,1026,,,43,7.2,298,,,,,,0,800,Clear,sky is clear,01n
1388556000,2014-01-01 06:00:00 +0000 UTC,-18000,Empire State Building,40.748441,-73.985664,-3.67,10000,-12.54,-10.67,-3.96,-3.12,1026,,,46,7.72,260,12.35,,,,,0,800,Clear,sky is clear,01n
1388559600,2014-01-01 07:00:00 +0000 UTC,-18000,Empire State Building,40.748441,-73.985664,-3.77,10000,-12.63,-10.61,-4.4,-3.12,1027,,,46,6.7,290,9.8,,,,,0,800,Clear,sky is clear,01n
1388563200,2014-01-01 08:00:00 +0000 UTC,-18000,Empire State Building,40.748441,-73.985664,-4.16,10000,-13,-11.11,-4.56,-3.36,1028,,,46,6.7,270,9.3,,,,,0,800,Clear,sky is clear,01n
1388566800,2014-01-01 09:00:00 +0000 UTC,-18000,Empire State Building,40.748441,-73.985664,-4.06,10000,-12.21,-10.97,-4.56,-3.83,1028,,,49,6.68,284,,,,,,0,800,Clear,sky is clear,01n
1388570400,2014-01-01 10:00:00 +0000 UTC,-18000,Empire State Building,40.748441,-73.985664,-4.05,10000,-13.14,-10.42,-4.25,-2.9,1028,,,45,5.7,260,9.3,,,,,0,800,Clear,sky is clear,01n
